target,model,feature,importance
temperature_c,GBM,temperature_outdoor_c,0.7538850166494101
temperature_c,GBM,month,0.10481813632280026
temperature_c,GBM,weekday,0.08113234163484066
temperature_c,GBM,hour,0.052833258236114976
temperature_c,GBM,rh_outdoor_percent,0.007331247156834165
temperature_c,AdaBoost,temperature_outdoor_c,0.8412243077811284
temperature_c,AdaBoost,month,0.08018134738003081
temperature_c,AdaBoost,hour,0.049345057931617906
temperature_c,AdaBoost,weekday,0.026615052850627197
temperature_c,AdaBoost,rh_outdoor_percent,0.002634234056595475
temperature_c,RF,temperature_outdoor_c,0.730326801482382
temperature_c,RF,month,0.08453880579776253
temperature_c,RF,weekday,0.0841192256894734
temperature_c,RF,hour,0.07092322962798062
temperature_c,RF,rh_outdoor_percent,0.03009193740240149
temperature_c,XGBoost,temperature_outdoor_c,0.7405352592468262
temperature_c,XGBoost,month,0.0997684895992279
temperature_c,XGBoost,weekday,0.08878335356712341
temperature_c,XGBoost,hour,0.05372802913188934
temperature_c,XGBoost,rh_outdoor_percent,0.017184825614094734
temperature_c,CatBoost,temperature_outdoor_c,52.45992475445886
temperature_c,CatBoost,month,21.01862552537677
temperature_c,CatBoost,weekday,13.356881710489114
temperature_c,CatBoost,hour,10.86990497828341
temperature_c,CatBoost,rh_outdoor_percent,2.294663031391861
temperature_c,LightGBM,temperature_outdoor_c,893.0
temperature_c,LightGBM,rh_outdoor_percent,595.0
temperature_c,LightGBM,weekday,540.0
temperature_c,LightGBM,hour,539.0
temperature_c,LightGBM,month,433.0
rh_percent,Lasso,rh_outdoor_percent,3.7755966772670244
rh_percent,Lasso,doy_cos,3.4388161948126275
rh_percent,Lasso,hour_cos,1.0732523444475055
rh_percent,Lasso,doy_sin,1.0470827939517293
rh_percent,Lasso,hour_sin,0.2670572162441482
rh_percent,Lasso,month,0.0
rh_percent,CatBoost,doy_cos,32.55335556409325
rh_percent,CatBoost,rh_outdoor_percent,30.149717060582667
rh_percent,CatBoost,doy_sin,23.834742732818498
rh_percent,CatBoost,hour_cos,7.671999706190877
rh_percent,CatBoost,hour_sin,3.675380191315508
rh_percent,CatBoost,month,2.1148047449992022
rh_percent,RF,rh_outdoor_percent,0.3444748596135663
rh_percent,RF,doy_cos,0.27314366932543366
rh_percent,RF,doy_sin,0.26783068695197776
rh_percent,RF,hour_cos,0.05755039135155527
rh_percent,RF,hour_sin,0.05170111471434507
rh_percent,RF,month,0.005299278043121976
luminance_lux,GBM,hour_cos,0.29786425592866433
luminance_lux,GBM,doy_cos,0.22071355433017678
luminance_lux,GBM,direct_radiation,0.14683631301700253
luminance_lux,GBM,doy_sin,0.12159900250464614
luminance_lux,GBM,month,0.0920994098836958
luminance_lux,GBM,hour_sin,0.07797616773555766
luminance_lux,GBM,shortwave_radiation,0.04291129660025667
luminance_lux,CatBoost,doy_cos,23.825233528232086
luminance_lux,CatBoost,doy_sin,22.2784600401854
luminance_lux,CatBoost,direct_radiation,15.565629168005426
luminance_lux,CatBoost,hour_sin,12.785556719258226
luminance_lux,CatBoost,month,11.797184187000761
luminance_lux,CatBoost,shortwave_radiation,7.637817395387
