target,model,best_params,CV_RMSE,MAE,RMSE,R2
temperature_c,GBM,"{'learning_rate': 0.1, 'n_estimators': 100}",,1.1669092510872565,1.5219841158165082,0.15257254543432264
temperature_c,AdaBoost,{'n_estimators': 50},,1.6870368025335516,2.214722078048176,-0.7944061960379343
temperature_c,RF,"{'max_depth': 10, 'n_estimators': 50}",,1.2122095511285658,1.5678030409377082,0.10078137206160431
temperature_c,XGBoost,"{'learning_rate': 0.05, 'n_estimators': 50}",,1.2400977804780922,1.6167163864598337,0.043797289443930354
temperature_c,CatBoost,"{'depth': 4, 'iterations': 200, 'learning_rate': 0.1}",,1.1215262743129601,1.4734747770373877,0.20573083628667155
temperature_c,LightGBM,"{'learning_rate': 0.1, 'n_estimators': 100}",,1.0013575046818826,1.305257256967008,0.3767324402409393
rh_percent,Lasso,{'alpha': 0.1},,4.970317311345549,5.9084793163013085,0.36245626155462163
rh_percent,CatBoost,"{'depth': 6, 'iterations': 100, 'learning_rate': 0.1}",,5.17881332105218,5.985196245077532,0.3457927763007963
rh_percent,RF,"{'max_depth': 10, 'n_estimators': 50}",,4.607953788386034,5.735147132146479,0.3993137738569573
luminance_lux,GBM,"{'learning_rate': 0.05, 'n_estimators': 100}",,582.3849623657098,1060.4249451583316,0.3238994516258139
luminance_lux,CatBoost,"{'depth': 6, 'iterations': 200, 'learning_rate': 0.03}",,582.0116160503662,1093.6091085642547,0.28092257441767154
luminance_lux,RF,"{'max_depth': None, 'n_estimators': 100}",,674.713471151726,1167.6194505595802,0.18030165291665423
luminance_lux,XGBoost,"{'learning_rate': 0.05, 'n_estimators': 50}",,656.8526501931631,1139.3757004787612,0.21947768610991625
average_noise_db,GBM,"{'learning_rate': 0.05, 'n_estimators': 50}",,3.9656010465591076,6.177813672636354,0.34874751231475465
average_noise_db,RF,"{'max_depth': 10, 'n_estimators': 100}",,3.8559299646482343,6.237018079696559,0.3362052852651216
average_noise_db,CatBoost,"{'depth': 4, 'iterations': 100, 'learning_rate': 0.03}",,3.5830309036249166,6.205820496369213,0.34282928344622976
average_noise_db,LightGBM,"{'learning_rate': 0.05, 'n_estimators': 50}",,3.493281679903897,6.4510275176469465,0.2898704694138491
average_noise_db,KNN,{'n_neighbors': 7},,3.4401267356257574,6.146441666326478,0.35534506345837513
co2_ppm,GBM,"{'learning_rate': 0.05, 'n_estimators': 50}",,50.77978926593716,79.2788073561031,0.37707080790995295
co2_ppm,CatBoost,"{'depth': 4, 'iterations': 100, 'learning_rate': 0.03}",,45.08087262771188,77.59894558581543,0.40318997802363254
co2_ppm,RF,"{'max_depth': 10, 'n_estimators': 100}",,40.510346057638564,71.52351651962651,0.49298339272273306
co2_ppm,DT,{'max_depth': 5},,44.44546200688948,78.15071276657112,0.3946725703450643
tvoc_ppb,GBM,"{'learning_rate': 0.1, 'n_estimators': 50}",,0.14835280322405067,0.23611685545178365,0.10969249928961045
tvoc_ppb,CatBoost,"{'depth': 6, 'iterations': 200, 'learning_rate': 0.03}",,0.14810649351188146,0.23401725985177121,0.1254556661087196
tvoc_ppb,RF,"{'max_depth': 10, 'n_estimators': 100}",,0.15975593762010273,0.2521342422556436,-0.015195567387736197
tvoc_ppb,DT,{'max_depth': 5},,0.17372376151340513,0.2696408990170825,-0.161067807410058
pm2_5,GBM,"{'learning_rate': 0.1, 'n_estimators': 50}",,6.967810845775249,8.685391349891315,-0.3135205803065848
pm2_5,CatBoost,"{'depth': 4, 'iterations': 100, 'learning_rate': 0.03}",,6.71539409900221,8.254887008456112,-0.18653448310101117
pm2_5,RF,"{'max_depth': None, 'n_estimators': 50}",,7.541831055900621,9.555155122038114,-0.5897673813632702
pm2_5,DT,{'max_depth': 5},,7.923008184002959,10.107908564631465,-0.7790194956173444
pm10,GBM,"{'learning_rate': 0.05, 'n_estimators': 50}",,8.806119490492454,11.39400460424786,-0.0223036069642244
pm10,CatBoost,"{'depth': 4, 'iterations': 100, 'learning_rate': 0.03}",,8.934511870059387,11.453370487820719,-0.03298432277338148
pm10,RF,"{'max_depth': 10, 'n_estimators': 50}",,9.898886090148693,12.899444836096912,-0.31029520311246417
pm10,DT,{'max_depth': 5},,9.786150797217399,12.865146380607754,-0.30333655409890214
